 T: 2018-01-30 22:39:48,615 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '60881d63-14a2-4e77-b5ce-952a69b2e6c3' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-30 22:40:58,573 |L: INFO |TH: Agent: adapter run thread for test 'LogoutAsROLUser' with id '646723f0-6d6a-4425-b6bf-522c36925261' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ApplicationLoginPage ~ MethodName = ClickLogoutLink ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-30 22:41:00,108 |L: INFO |TH: Agent: adapter run thread for test 'LogoutAsROLUser' with id '646723f0-6d6a-4425-b6bf-522c36925261' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ApplicationLoginPage ~ MethodName = ClickLogoutLink ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-30 22:41:00,108 |L: INFO |TH: Agent: adapter run thread for test 'LogoutAsROLUser' with id '646723f0-6d6a-4425-b6bf-522c36925261' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LogoutAsUser ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-30 22:41:00,108 |L: INFO |TH: Agent: adapter run thread for test 'LogoutAsROLUser' with id '646723f0-6d6a-4425-b6bf-522c36925261' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-30 22:41:00,108 |L: INFO |TH: Agent: adapter run thread for test 'LogoutAsROLUser' with id '646723f0-6d6a-4425-b6bf-522c36925261' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-30 22:41:00,237 |L: INFO |TH: Agent: adapter run thread for test 'LogoutAsROLUser' with id '646723f0-6d6a-4425-b6bf-522c36925261' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-30 22:41:00,237 |L: INFO |TH: Agent: adapter run thread for test 'LogoutAsROLUser' with id '646723f0-6d6a-4425-b6bf-522c36925261' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidatePageName ~ ScenarioName =Logout as ROL User ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-30 22:41:00,237 |L: INFO |TH: Agent: adapter run thread for test 'LogoutAsROLUser' with id '646723f0-6d6a-4425-b6bf-522c36925261' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-30 22:41:00,246 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '218cfd62-996e-4e60-ba0d-10e90f6806d5' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = VerifyDropDownAppeared ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-30 22:41:00,247 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '218cfd62-996e-4e60-ba0d-10e90f6806d5' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
