 T: 2018-02-12 20:54:13,511 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLWalletTransactionUser' with id 'bfa385ff-b714-43fa-b08a-8fb4849bc8c5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:55:14,099 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLWalletTransactionUser' with id 'bfa385ff-b714-43fa-b08a-8fb4849bc8c5' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidatePageName ~ ScenarioName =Login as MOL Wallet Transaction User ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:55:22,887 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLWalletTransactionUser' with id 'bfa385ff-b714-43fa-b08a-8fb4849bc8c5' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:55:29,945 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '5ed50f8a-e943-49d9-88bc-7f6f04911b64' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefination ~ MethodName = NavigateToTab ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:55:29,948 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '5ed50f8a-e943-49d9-88bc-7f6f04911b64' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = DashboardPage ~ MethodName = NavigateToTab ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:55:32,363 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '5ed50f8a-e943-49d9-88bc-7f6f04911b64' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = DashboardPage ~ MethodName = NavigateToTab ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:55:32,363 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '5ed50f8a-e943-49d9-88bc-7f6f04911b64' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefination ~ MethodName = NavigateToTab ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:55:32,364 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '5ed50f8a-e943-49d9-88bc-7f6f04911b64' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefinition ~ MethodName = ValidateDropDownIsPresent ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:55:32,365 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '5ed50f8a-e943-49d9-88bc-7f6f04911b64' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionsPage ~ MethodName = ValidateDropDownIsPresent ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:55:32,416 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '5ed50f8a-e943-49d9-88bc-7f6f04911b64' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidateDropDownIsPresent ~ ScenarioName =Display Wallet Transactions - Verify that Transactions is displayed in the MOL My Account for SP Card Only ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:55:32,416 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '5ed50f8a-e943-49d9-88bc-7f6f04911b64' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefinition ~ MethodName = ValidateDropDownIsPresent ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:55:32,417 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '5ed50f8a-e943-49d9-88bc-7f6f04911b64' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefinition ~ MethodName = SelectingTheDropDown ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:55:32,417 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '5ed50f8a-e943-49d9-88bc-7f6f04911b64' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionPage ~ MethodName = ClickOnDropDown ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:55:32,581 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '5ed50f8a-e943-49d9-88bc-7f6f04911b64' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionPage ~ MethodName = SelectTheDropDown ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:55:44,137 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '5ed50f8a-e943-49d9-88bc-7f6f04911b64' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefinition ~ MethodName = SelectingTheDropDown ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:55:44,137 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '5ed50f8a-e943-49d9-88bc-7f6f04911b64' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefinition ~ MethodName = ValidateDropDownIsPresent ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:55:44,137 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '5ed50f8a-e943-49d9-88bc-7f6f04911b64' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionsPage ~ MethodName = ValidateDropDownIsPresent ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:55:44,259 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '5ed50f8a-e943-49d9-88bc-7f6f04911b64' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidateDropDownIsPresent ~ ScenarioName =Display Wallet Transactions - Verify that Transactions is displayed in the MOL My Account for SP Card Only ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:55:44,260 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '5ed50f8a-e943-49d9-88bc-7f6f04911b64' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefinition ~ MethodName = ValidateDropDownIsPresent ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:55:44,260 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '5ed50f8a-e943-49d9-88bc-7f6f04911b64' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefinition ~ MethodName = SelectingTheDropDown ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:55:44,260 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '5ed50f8a-e943-49d9-88bc-7f6f04911b64' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionPage ~ MethodName = ClickOnDropDown ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:55:44,442 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '5ed50f8a-e943-49d9-88bc-7f6f04911b64' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionPage ~ MethodName = SelectTheDropDown ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:55:44,766 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '5ed50f8a-e943-49d9-88bc-7f6f04911b64' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefinition ~ MethodName = SelectingTheDropDown ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:55:44,767 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '5ed50f8a-e943-49d9-88bc-7f6f04911b64' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefinition ~ MethodName = ValidateAvailableBalance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:55:44,767 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '5ed50f8a-e943-49d9-88bc-7f6f04911b64' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionsPage ~ MethodName = ValidateAvailableBalance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:55:49,800 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '5ed50f8a-e943-49d9-88bc-7f6f04911b64' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidateAvailableBalance ~ ScenarioName =Display Wallet Transactions - Verify that Transactions is displayed in the MOL My Account for SP Card Only ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:55:49,801 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '5ed50f8a-e943-49d9-88bc-7f6f04911b64' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefinition ~ MethodName = ValidateAvailableBalance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:55:49,823 |L: INFO |TH: Agent: adapter run thread for test 'LogoutAsMOLWalletTransactionUser' with id 'ee11c006-c21c-41f4-9298-9377d8f9b76e' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LogoutAsUser ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:55:49,825 |L: INFO |TH: Agent: adapter run thread for test 'LogoutAsMOLWalletTransactionUser' with id 'ee11c006-c21c-41f4-9298-9377d8f9b76e' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ApplicationLoginPage ~ MethodName = ClickLogoutLink ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:55:49,825 |L: INFO |TH: Agent: adapter run thread for test 'LogoutAsMOLWalletTransactionUser' with id 'ee11c006-c21c-41f4-9298-9377d8f9b76e' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ApplicationLoginPage ~ MethodName = ClickLogoutLink ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:55:49,825 |L: INFO |TH: Agent: adapter run thread for test 'LogoutAsMOLWalletTransactionUser' with id 'ee11c006-c21c-41f4-9298-9377d8f9b76e' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LogoutAsUser ~ Message = Exit ~ ScreenShot File = Not Applicable 
