 T: 2018-02-12 20:50:13,813 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLWalletTransactionUser' with id '41ca528b-7ef0-46f9-b945-ce7abc0e2b5a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:51:02,768 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLWalletTransactionUser' with id '41ca528b-7ef0-46f9-b945-ce7abc0e2b5a' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidatePageName ~ ScenarioName =Login as MOL Wallet Transaction User ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:51:14,346 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLWalletTransactionUser' with id '41ca528b-7ef0-46f9-b945-ce7abc0e2b5a' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:51:21,438 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '10145538-d678-4ccf-9c43-134d8c14710e' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefination ~ MethodName = NavigateToTab ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:51:21,438 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '10145538-d678-4ccf-9c43-134d8c14710e' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = DashboardPage ~ MethodName = NavigateToTab ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:51:24,031 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '10145538-d678-4ccf-9c43-134d8c14710e' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = DashboardPage ~ MethodName = NavigateToTab ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:51:24,031 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '10145538-d678-4ccf-9c43-134d8c14710e' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefination ~ MethodName = NavigateToTab ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:51:24,032 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '10145538-d678-4ccf-9c43-134d8c14710e' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefinition ~ MethodName = ValidateDropDownIsPresent ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:51:24,033 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '10145538-d678-4ccf-9c43-134d8c14710e' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionsPage ~ MethodName = ValidateDropDownIsPresent ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:51:24,085 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '10145538-d678-4ccf-9c43-134d8c14710e' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidateDropDownIsPresent ~ ScenarioName =Display Wallet Transactions - Verify that Transactions is displayed in the MOL My Account for SP Card Only ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:51:24,085 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '10145538-d678-4ccf-9c43-134d8c14710e' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefinition ~ MethodName = ValidateDropDownIsPresent ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:51:24,085 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '10145538-d678-4ccf-9c43-134d8c14710e' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefinition ~ MethodName = SelectingTheDropDown ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:51:24,085 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '10145538-d678-4ccf-9c43-134d8c14710e' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionPage ~ MethodName = ClickOnDropDown ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:51:24,226 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '10145538-d678-4ccf-9c43-134d8c14710e' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionPage ~ MethodName = SelectTheDropDown ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:51:35,952 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '10145538-d678-4ccf-9c43-134d8c14710e' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefinition ~ MethodName = SelectingTheDropDown ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:51:35,952 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '10145538-d678-4ccf-9c43-134d8c14710e' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefinition ~ MethodName = ValidateDropDownIsPresent ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:51:35,952 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '10145538-d678-4ccf-9c43-134d8c14710e' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionsPage ~ MethodName = ValidateDropDownIsPresent ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:51:36,124 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '10145538-d678-4ccf-9c43-134d8c14710e' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidateDropDownIsPresent ~ ScenarioName =Display Wallet Transactions - Verify that Transactions is displayed in the MOL My Account for SP Card Only ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:51:36,125 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '10145538-d678-4ccf-9c43-134d8c14710e' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefinition ~ MethodName = ValidateDropDownIsPresent ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:51:36,125 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '10145538-d678-4ccf-9c43-134d8c14710e' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefinition ~ MethodName = SelectingTheDropDown ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:51:36,125 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '10145538-d678-4ccf-9c43-134d8c14710e' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionPage ~ MethodName = ClickOnDropDown ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:51:36,293 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '10145538-d678-4ccf-9c43-134d8c14710e' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionPage ~ MethodName = SelectTheDropDown ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:51:36,640 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '10145538-d678-4ccf-9c43-134d8c14710e' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefinition ~ MethodName = SelectingTheDropDown ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:51:36,641 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '10145538-d678-4ccf-9c43-134d8c14710e' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefinition ~ MethodName = ValidateAvailableBalance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:51:36,642 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '10145538-d678-4ccf-9c43-134d8c14710e' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionsPage ~ MethodName = ValidateAvailableBalance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:51:41,672 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '10145538-d678-4ccf-9c43-134d8c14710e' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidateAvailableBalance ~ ScenarioName =Display Wallet Transactions - Verify that Transactions is displayed in the MOL My Account for SP Card Only ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:51:41,672 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '10145538-d678-4ccf-9c43-134d8c14710e' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefinition ~ MethodName = ValidateAvailableBalance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:51:41,687 |L: INFO |TH: Agent: adapter run thread for test 'LogoutAsMOLWalletTransactionUser' with id 'acc2b080-4605-40aa-9eb1-16a22997b346' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LogoutAsUser ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:51:41,703 |L: INFO |TH: Agent: adapter run thread for test 'LogoutAsMOLWalletTransactionUser' with id 'acc2b080-4605-40aa-9eb1-16a22997b346' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ApplicationLoginPage ~ MethodName = ClickLogoutLink ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:51:41,703 |L: INFO |TH: Agent: adapter run thread for test 'LogoutAsMOLWalletTransactionUser' with id 'acc2b080-4605-40aa-9eb1-16a22997b346' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ApplicationLoginPage ~ MethodName = ClickLogoutLink ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:51:41,703 |L: INFO |TH: Agent: adapter run thread for test 'LogoutAsMOLWalletTransactionUser' with id 'acc2b080-4605-40aa-9eb1-16a22997b346' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LogoutAsUser ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:51:47,499 |L: INFO |TH: Agent: adapter run thread for test 'LogoutAsMOLWalletTransactionUser' with id 'acc2b080-4605-40aa-9eb1-16a22997b346' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:51:52,583 |L: INFO |TH: Agent: adapter run thread for test 'LogoutAsMOLWalletTransactionUser' with id 'acc2b080-4605-40aa-9eb1-16a22997b346' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:53:06,829 |L: INFO |TH: Agent: adapter run thread for test 'LogoutAsMOLWalletTransactionUser' with id 'acc2b080-4605-40aa-9eb1-16a22997b346' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
