 T: 2018-02-08 17:52:16,325 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLUser' with id 'd7ba174e-b3af-4395-926a-a28fe3113f7a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:52:46,403 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '2dd6a577-551c-4f22-9ace-b7d4b3fbf4cb' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionsPage ~ MethodName = ValidateDropDownIsPresent ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:52:46,532 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '2dd6a577-551c-4f22-9ace-b7d4b3fbf4cb' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidateDropDownIsPresent ~ ScenarioName =Display Wallet Transactions - Verify that Transactions is displayed in the MOL My Account for SP Card Only ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:52:46,532 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '2dd6a577-551c-4f22-9ace-b7d4b3fbf4cb' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefinition ~ MethodName = ValidateDropDownIsPresent ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:52:46,533 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '2dd6a577-551c-4f22-9ace-b7d4b3fbf4cb' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefinition ~ MethodName = SelectingTheDropDown ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:52:46,533 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '2dd6a577-551c-4f22-9ace-b7d4b3fbf4cb' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionPage ~ MethodName = ClickOnDropDown ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:52:46,710 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '2dd6a577-551c-4f22-9ace-b7d4b3fbf4cb' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionPage ~ MethodName = SelectTheDropDown ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:52:47,029 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '2dd6a577-551c-4f22-9ace-b7d4b3fbf4cb' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefinition ~ MethodName = SelectingTheDropDown ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:52:47,030 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '2dd6a577-551c-4f22-9ace-b7d4b3fbf4cb' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefinition ~ MethodName = ValidateAvailableBalance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:52:47,031 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '2dd6a577-551c-4f22-9ace-b7d4b3fbf4cb' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionsPage ~ MethodName = ValidateAvailableBalance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:52:52,060 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '2dd6a577-551c-4f22-9ace-b7d4b3fbf4cb' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ExceptionHandler ~ MethodName = HandleException ~ Message = no such element: Unable to locate element: {"method":"xpath","selector":".//*[@id='balance']/div/b"}
  (Session info: chrome=64.0.3282.140)
  (Driver info: chromedriver=2.34.522940 (1a76f96f66e3ca7b8e57d503b4dd3bccfba87af1),platform=Windows NT 6.1.7601 SP1 x86_64) ~ ScreenShot File = 201828175252 
