 T: 2018-01-31 18:27:19,444 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '3d002ce1-19ad-4ca0-8329-3f7c48e901d5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:26,698 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '3d002ce1-19ad-4ca0-8329-3f7c48e901d5' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidatePageName ~ ScenarioName =Login as ROL user ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:26,698 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '3d002ce1-19ad-4ca0-8329-3f7c48e901d5' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:26,772 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id '3e4573f3-ac77-4f12-8c5a-f36df5621fc0' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = NavigateToTab ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:26,773 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id '3e4573f3-ac77-4f12-8c5a-f36df5621fc0' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = DashboardPage ~ MethodName = NavigateToTab ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:29,212 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id '3e4573f3-ac77-4f12-8c5a-f36df5621fc0' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = DashboardPage ~ MethodName = NavigateToTab ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:29,212 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id '3e4573f3-ac77-4f12-8c5a-f36df5621fc0' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = NavigateToTab ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:29,213 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id '3e4573f3-ac77-4f12-8c5a-f36df5621fc0' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = ValidateTheUserDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:29,215 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id '3e4573f3-ac77-4f12-8c5a-f36df5621fc0' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:30,090 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id '3e4573f3-ac77-4f12-8c5a-f36df5621fc0' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:30,090 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id '3e4573f3-ac77-4f12-8c5a-f36df5621fc0' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =ROL user validate data in default view of Contact us page ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:30,090 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id '3e4573f3-ac77-4f12-8c5a-f36df5621fc0' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = ValidateTheUserDetails ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:30,142 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = VerifyDropDownAppeared ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:30,143 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:30,199 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =ROL user Lodges the Request ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:30,199 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = VerifyDropDownAppeared ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:30,200 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = SelelctingTheDropDownInContactPage ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:30,200 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:30,463 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:31,408 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = SelelctingTheDropDownInContactPage ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:31,408 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = VerifyDropDownAppeared ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:31,408 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:32,018 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =ROL user Lodges the Request ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:32,018 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = VerifyDropDownAppeared ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:32,018 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = SelelctingTheDropDownInContactPage ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:32,018 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:32,232 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:32,666 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = SelelctingTheDropDownInContactPage ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:32,666 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = VerifyDropDownAppeared ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:32,666 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:32,723 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =ROL user Lodges the Request ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:32,723 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = VerifyDropDownAppeared ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:32,723 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = SelelctingTheDropDownInContactPage ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:32,723 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:32,944 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:33,271 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = SelelctingTheDropDownInContactPage ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:33,271 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = VerifyDropDownAppeared ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:33,271 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:33,364 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =ROL user Lodges the Request ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:33,364 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = VerifyDropDownAppeared ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:33,365 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = EnterTheValeInTextBox ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:33,365 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:38,809 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = EnterTheValeInTextBox ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:38,810 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = SelelctingTheRadioButton ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:38,811 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:39,027 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = SelelctingTheRadioButton ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:39,027 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = SelelctingTheRadioButton ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:39,027 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:39,353 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = SelelctingTheRadioButton ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:39,353 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = VerifyDropDownAppeared ~ Message = Entry ~ ScreenShot File = Not Applicable 
