 T: 2018-01-31 18:23:18,911 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'e87fd859-41dc-4b40-aa65-f80739e4ce64' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:27,992 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'e87fd859-41dc-4b40-aa65-f80739e4ce64' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidatePageName ~ ScenarioName =Login as ROL user ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:27,992 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'e87fd859-41dc-4b40-aa65-f80739e4ce64' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:28,163 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id 'eb362cab-96cd-4c4e-8848-18d8b1cbf303' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = NavigateToTab ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:28,165 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id 'eb362cab-96cd-4c4e-8848-18d8b1cbf303' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = DashboardPage ~ MethodName = NavigateToTab ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:33,110 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id 'eb362cab-96cd-4c4e-8848-18d8b1cbf303' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = DashboardPage ~ MethodName = NavigateToTab ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:33,110 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id 'eb362cab-96cd-4c4e-8848-18d8b1cbf303' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = NavigateToTab ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:33,111 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id 'eb362cab-96cd-4c4e-8848-18d8b1cbf303' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = ValidateTheUserDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:33,112 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id 'eb362cab-96cd-4c4e-8848-18d8b1cbf303' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:34,191 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id 'eb362cab-96cd-4c4e-8848-18d8b1cbf303' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:34,191 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id 'eb362cab-96cd-4c4e-8848-18d8b1cbf303' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =ROL user validate data in default view of Contact us page ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:34,191 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id 'eb362cab-96cd-4c4e-8848-18d8b1cbf303' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = ValidateTheUserDetails ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:34,191 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id 'ad800b25-8537-447d-a8d1-09c05f882216' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = VerifyDropDownAppeared ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:34,206 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id 'ad800b25-8537-447d-a8d1-09c05f882216' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:34,253 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id 'ad800b25-8537-447d-a8d1-09c05f882216' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =ROL user Lodges the Request ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:34,253 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id 'ad800b25-8537-447d-a8d1-09c05f882216' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = VerifyDropDownAppeared ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:34,253 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id 'ad800b25-8537-447d-a8d1-09c05f882216' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = SelelctingTheDropDownInContactPage ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:34,253 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id 'ad800b25-8537-447d-a8d1-09c05f882216' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:34,449 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id 'ad800b25-8537-447d-a8d1-09c05f882216' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:34,771 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id 'ad800b25-8537-447d-a8d1-09c05f882216' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = SelelctingTheDropDownInContactPage ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:34,771 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id 'ad800b25-8537-447d-a8d1-09c05f882216' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = VerifyDropDownAppeared ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:34,771 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id 'ad800b25-8537-447d-a8d1-09c05f882216' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:35,403 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id 'ad800b25-8537-447d-a8d1-09c05f882216' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =ROL user Lodges the Request ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:35,403 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id 'ad800b25-8537-447d-a8d1-09c05f882216' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = VerifyDropDownAppeared ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:35,403 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id 'ad800b25-8537-447d-a8d1-09c05f882216' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = SelelctingTheDropDownInContactPage ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:35,403 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id 'ad800b25-8537-447d-a8d1-09c05f882216' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:35,753 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id 'ad800b25-8537-447d-a8d1-09c05f882216' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:36,275 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id 'ad800b25-8537-447d-a8d1-09c05f882216' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = SelelctingTheDropDownInContactPage ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:36,276 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id 'ad800b25-8537-447d-a8d1-09c05f882216' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = VerifyDropDownAppeared ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:36,276 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id 'ad800b25-8537-447d-a8d1-09c05f882216' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:36,343 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id 'ad800b25-8537-447d-a8d1-09c05f882216' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =ROL user Lodges the Request ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:36,343 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id 'ad800b25-8537-447d-a8d1-09c05f882216' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = VerifyDropDownAppeared ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:36,344 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id 'ad800b25-8537-447d-a8d1-09c05f882216' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = SelelctingTheDropDownInContactPage ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:36,344 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id 'ad800b25-8537-447d-a8d1-09c05f882216' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:36,831 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id 'ad800b25-8537-447d-a8d1-09c05f882216' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:37,366 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id 'ad800b25-8537-447d-a8d1-09c05f882216' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = SelelctingTheDropDownInContactPage ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:37,366 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id 'ad800b25-8537-447d-a8d1-09c05f882216' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = VerifyDropDownAppeared ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:37,366 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id 'ad800b25-8537-447d-a8d1-09c05f882216' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:37,494 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id 'ad800b25-8537-447d-a8d1-09c05f882216' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =ROL user Lodges the Request ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:37,494 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id 'ad800b25-8537-447d-a8d1-09c05f882216' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = VerifyDropDownAppeared ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:37,495 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id 'ad800b25-8537-447d-a8d1-09c05f882216' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = EnterTheValeInTextBox ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:37,496 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id 'ad800b25-8537-447d-a8d1-09c05f882216' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:43,197 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id 'ad800b25-8537-447d-a8d1-09c05f882216' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = EnterTheValeInTextBox ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:43,197 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id 'ad800b25-8537-447d-a8d1-09c05f882216' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = SelelctingTheRadioButton ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:43,197 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id 'ad800b25-8537-447d-a8d1-09c05f882216' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:43,519 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id 'ad800b25-8537-447d-a8d1-09c05f882216' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = SelelctingTheRadioButton ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:43,519 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id 'ad800b25-8537-447d-a8d1-09c05f882216' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = SelelctingTheRadioButton ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:43,519 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id 'ad800b25-8537-447d-a8d1-09c05f882216' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:43,768 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id 'ad800b25-8537-447d-a8d1-09c05f882216' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = SelelctingTheRadioButton ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:43,768 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id 'ad800b25-8537-447d-a8d1-09c05f882216' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = VerifyDropDownAppeared ~ Message = Entry ~ ScreenShot File = Not Applicable 
