 T: 2018-01-31 18:28:54,693 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '04c9ca8e-bc8c-44fb-8ddb-ed64a2d8c713' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:10,278 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '04c9ca8e-bc8c-44fb-8ddb-ed64a2d8c713' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidatePageName ~ ScenarioName =Login as ROL user ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:10,278 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '04c9ca8e-bc8c-44fb-8ddb-ed64a2d8c713' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:10,389 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id '0cbff810-698e-4a19-bdf3-43df4428bca6' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = NavigateToTab ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:10,391 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id '0cbff810-698e-4a19-bdf3-43df4428bca6' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = DashboardPage ~ MethodName = NavigateToTab ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:12,876 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id '0cbff810-698e-4a19-bdf3-43df4428bca6' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = DashboardPage ~ MethodName = NavigateToTab ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:12,876 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id '0cbff810-698e-4a19-bdf3-43df4428bca6' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = NavigateToTab ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:12,877 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id '0cbff810-698e-4a19-bdf3-43df4428bca6' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = ValidateTheUserDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:12,878 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id '0cbff810-698e-4a19-bdf3-43df4428bca6' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:13,646 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id '0cbff810-698e-4a19-bdf3-43df4428bca6' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:13,646 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id '0cbff810-698e-4a19-bdf3-43df4428bca6' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =ROL user validate data in default view of Contact us page ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:13,646 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id '0cbff810-698e-4a19-bdf3-43df4428bca6' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = ValidateTheUserDetails ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:13,696 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = VerifyDropDownAppeared ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:13,698 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:13,780 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =ROL user Lodges the Request ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:13,780 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = VerifyDropDownAppeared ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:13,781 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = SelelctingTheDropDownInContactPage ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:13,781 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:13,978 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:14,468 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = SelelctingTheDropDownInContactPage ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:14,468 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = VerifyDropDownAppeared ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:14,468 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:15,068 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =ROL user Lodges the Request ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:15,068 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = VerifyDropDownAppeared ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:15,068 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = SelelctingTheDropDownInContactPage ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:15,068 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:15,240 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:15,558 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = SelelctingTheDropDownInContactPage ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:15,559 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = VerifyDropDownAppeared ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:15,559 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:15,628 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =ROL user Lodges the Request ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:15,628 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = VerifyDropDownAppeared ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:15,628 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = SelelctingTheDropDownInContactPage ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:15,629 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:15,846 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:16,224 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = SelelctingTheDropDownInContactPage ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:16,225 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = VerifyDropDownAppeared ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:16,225 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:16,302 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =ROL user Lodges the Request ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:16,302 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = VerifyDropDownAppeared ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:16,303 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = EnterTheValeInTextBox ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:16,304 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:21,626 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = EnterTheValeInTextBox ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:21,627 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = SelelctingTheRadioButton ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:21,627 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:21,822 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = SelelctingTheRadioButton ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:21,822 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = SelelctingTheRadioButton ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:21,822 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:22,031 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = SelelctingTheRadioButton ~ Message = Exit ~ ScreenShot File = Not Applicable 
