 T: 2018-02-08 17:37:36,252 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLUser' with id '80788e35-4aed-4e37-84b6-bb6e0ab648a3' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:38:20,294 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLUser' with id '80788e35-4aed-4e37-84b6-bb6e0ab648a3' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidatePageName ~ ScenarioName =Login as MOL user ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:38:20,294 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLUser' with id '80788e35-4aed-4e37-84b6-bb6e0ab648a3' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:38:20,337 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '17cafa61-82e0-41e0-94f5-850ec9db667f' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefination ~ MethodName = NavigateToTab ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:38:20,338 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '17cafa61-82e0-41e0-94f5-850ec9db667f' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = DashboardPage ~ MethodName = NavigateToTab ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:38:22,074 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '17cafa61-82e0-41e0-94f5-850ec9db667f' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = DashboardPage ~ MethodName = NavigateToTab ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:38:22,074 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '17cafa61-82e0-41e0-94f5-850ec9db667f' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefination ~ MethodName = NavigateToTab ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:38:22,075 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '17cafa61-82e0-41e0-94f5-850ec9db667f' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefinition ~ MethodName = ValidateDropDownIsPresent ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:38:22,075 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '17cafa61-82e0-41e0-94f5-850ec9db667f' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionsPage ~ MethodName = ValidateDropDownIsPresent ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:38:22,191 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '17cafa61-82e0-41e0-94f5-850ec9db667f' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidateDropDownIsPresent ~ ScenarioName =Display Wallet Transactions - Verify that Transactions is displayed in the MOL My Account for SP Card Only ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:38:22,191 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '17cafa61-82e0-41e0-94f5-850ec9db667f' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefinition ~ MethodName = ValidateDropDownIsPresent ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:38:22,192 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '17cafa61-82e0-41e0-94f5-850ec9db667f' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefinition ~ MethodName = SelectingTheDropDown ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:38:22,192 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '17cafa61-82e0-41e0-94f5-850ec9db667f' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:38:22,367 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '17cafa61-82e0-41e0-94f5-850ec9db667f' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionPage ~ MethodName = SelectTheDropDown ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:38:43,935 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '17cafa61-82e0-41e0-94f5-850ec9db667f' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefinition ~ MethodName = SelectingTheDropDown ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:38:43,935 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '17cafa61-82e0-41e0-94f5-850ec9db667f' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefinition ~ MethodName = ValidateDropDownIsPresent ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:38:43,935 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '17cafa61-82e0-41e0-94f5-850ec9db667f' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionsPage ~ MethodName = ValidateDropDownIsPresent ~ Message = Entry ~ ScreenShot File = Not Applicable 
